"Even when you sync your calendar and try to get it to just show your up next, underneath is still try hey Alexa spam.",Complaint,
Highly disappointed I was hoping for a cool clock and weather display/ calendar and not scrolling tips for Alexa.,Complaint,
"I set up the wifi and even if the connection test was successful, when attempting to connect to the PSN network the console would hang at a loading screen.",Bug Report,Reliability
"I got it for my wife for xmas, It keeps shutting down and freezing",Bug Report,"fault tolerant, recoverability"
"Pros: -Great video quality -Touch screen makes making commands way easy -Buttons are nice alternative--takes some getting used to--to the touch screen -Lots of filming/photographic options: burst, time lapse, night, etc.",Praise,
"-Came with some mounts -Can sync with wifi and control from app on your phone Cons: -Audio quality when in the housing is not the greatest...not meant for audio recording -Lots of possible settings, need to do homework to figure out what is best for different situations -Box came all dented, but the product was not damaged -App connects via wifi instead of blue-tooth",Feature Summary,
Love learning to use it!,Praise,
Great video and audio on this little camera.,Praise,
The app makes it easy to upload and edit footage too.,Praise,
"Still, it doesn't register walking while pushing a shopping cart with your left hand.",Complaint,
"Somewhat inaccurate on stairs, especially if you hold the banister with the watch hand.",Complaint,
"All the other features including the calorie tracking were very good and I liked a lot, but if I can't track my workouts then it is no good to me.",Feature Request,
This unit was not at all compatible with what I already set up on my Echo.,Complaint,
"It did not know any of the control commands (like shut off the lights) and wanted me to 'reprogram' it separately (I already spent many, many hours getting the Echo to work with my automated home products -and, for some reason, the Show COULD NOT SEAMLESSLY REPLACE THE ECHO FEATURES).",Complaint,
This lack of backward compatibility with my old Echo was annoying to the point that I decided to return the Show rather than spend hours getting it to work.,Complaint,
2. the software needs work: i am constantly having to uninstall/reinstall the pebble time app for android.,Bug Report,
I did find that if you disconnect then reconnect the watch it sometimes fixes the issue but i shouldn't have to do that twice or more a week.,Bug Report,
From time to time the battery life goes form 3-4 days to 5-6 hours; the watch won't update; i can't load setting in the android app and I won't receive notifications.,Bug Report,
There is a large amount of watch-faces to chose from and a lot of apps.,Feature Summary,
I'm happy about it but i wish the software was better.,Feature Request,
I feel like I'm being spammed all day with the 'tips' and any news on the screen always requires you to ask Alexa for more info.,Complaint,
It would be a much better product if Amazon would allow you to set the home screen to just display time and temperature.,Feature Request,
Hopefully they will give us the opportunity to set the home screen as we like-right now that's not an option.,Feature Request,
"As a n00b to the GoPro camera line, I can report that the learning curve isn't too steep and the Hero4 Silver camera takes stunning video with little babysitting required.",Praise,
GoPro's video editing and importing software is easy to use and recommended.,Praise,
"Luckily, the process is handled effortlessly through the GoPro editing and importing software.",Praise,
I bought this Smartwatch for my boyfriend and he loves all of the functions.,Praise,
The only thing he wishes it has is a music application.,Feature Request,
Trying to get it to play the YouTube video I was is nearly impossible.,Bug Report,
Why can I just cast it from my phone?,Feature Request,
"Oh wait I should be using voice, but something is wrong the search.",Bug Report,Human Usability?
The same query on my phone shows something completely different and wrong on the Echo Show.,Bug Report,
"Sometimes it shows a query saying ask Alexa ... and I ask it, but the device says I don't know anything about that.",Bug Report,
It gets dumber every day that goes by and now it constantly disconnects from the internet.,Complaint,
It's less and less responsive to the point of me basically yelling at it to shut the damn lights off.,Complaint,
"I have to repeat nearly every request multiple times, carefully articulating every syllable.",Bug Report,Human Error etc.
I do not experience the same issues with either of the two echos.,Bug Report,
So far so good Wish it did more live news rather than just flash news hopefully app,Feature Request,
I love that I can track and graph my progress with the app as well.,Praise,
The app is amazing and easy to use.,Praise,
You can make 'friends' and compete to get the most steps.,Feature Summary,
I didn't see the value in it and wasn't too impressed with its audio and picking up voice (had to repeat commands or questions).,Bug Report,
Still experiencing having to repeat commands sometimes.,Bug Report,
I have worn the watch 4 months and the buttons have been difficult to operate and eventually the watch would freeze up.,Bug Report,
Keep the skills coming.,Feature Request,
I find some difficulty searching you tube and would love to be able to just push things to the screen like you can do with Apple TV and chrome cast.,Feature Request,
A little more explanation of what all this can do would be great.,Feature Request,
I enjoy it.great upgrade from Alexa.my small gripe is when I'm speaking to someone on the other end of the show when I said Alexa it activates the commands.need more names seeing that I have multiple devices in my house.,Praise,Interoperability
But I do love the device especially it's compatible with my ring system.,Praise,Interoperability
This watch has a variety of free watch faces available for download on its 'app store' which allows you to customize it.,Feature Summary,
"There's a lot of apps available, but a lot of them seem redundant, such as having a timer, stopwatch, 'flashlight', or pedometer.",Complaint,
You'll begin learning how to use it from the moment you unpackage the device.,Feature Summary,
"No worries, as Echo Show will help you along and tell you how to ask what you're looking for.",Feature Summary,
"Prime Music, shopping, local weather, news, audio books, videos, etc.",Feature Summary,
My videos was very choppy.,Bug Report,
Worth spending a bit more for something with more features and better looking interface.,Complaint,
I have Hue and Lutron bridge that works with Echo Dot.,Praise,
"However, some how and some way, Echo Dot loses connection and reconnects.",Bug Report,
"I am not sure what it is but 80% of the time, it's connected.",Bug Report,
"On skills, I have added few skills for information on news, weather, reading ebook and such.",Feature Summary,
It comes very handy while I need a fast update.,Praise,
"Bought 2, and can use as a visual intercom via the drop in feature.",Feature Summary,
Lock my self out of the house and used the amazon app on phone to drop in and get the family's attention inside (drop in on phone app works from on celluar data also).,Feature Summary,
"Play mostly kids songs, kids videos, flash video briefings, audiobooks.",Feature Summary,
Finding very useful in daily life.,Praise,
Found 'hidden' setting by swiping from top very useful.,Praise,
"So far this has done everything the Echo did, plus you get the bonus of a screen to provide you info.",Feature Summary,
"Timers are easier, recipes are available, lyrics are visible for songs and you can stream Amazon movies, etc - what more could you ask for?",Praise,
It alerts me on incoming calls and text messages.,Feature Summary,
I can send short text messages using the mic.,Feature Summary,
"I find text messages difficult to read when the watch is at an angle, like when I am driving.",Complaint,
"I use it as a watch, as a motivation for getting 10,000 steps in a day and have challenges with my friends which has been so much fun.",Praise,
The face is so easy to read and you can customize it to different faces to what works best for you.,Feature Summary,
Opened up the game case and the disc and a chip in it and won't play.,Bug Report,
Positives: FitBit Blaze provides much more accurate numbers when you are counting calories because it gives you real time updates even when you are sitting still.,Feature Summary,
Negatives:  I have had this product for just over a month and I am constantly plagued with sync issues with my iPhone.,Complaint,
"There was a week straight where even when I would go through the troubleshooting process, it would not sync.",Complaint,
"This doesn't seem like a deal breaker, but if the battery runs out, there is no way to display the correct time without syncing it!",Bug Report,Resource Utilization/Functional Suitability?
"My only solution has been to delete the app, make the iPhone 'forget' the device, and restart from scratch.",Bug Report,
"I haven't heard any issues with other phones, but if over the next week I continue to have syncing issues, I will be returning this product.",Bug Report,
Half the time it can't locate my phone for sync when I ride my bike.,Bug Report,
Sometimes it just stops tracking and I lose the physical workout data.,Bug Report,
I'm not convinced it is actually tracking correctly.,Complaint,
The only thing it does seems to do accurately is record heart rate.,Praise,
Find myself repeating commands.,Bug Report,
I thought it would do more than the other echo's.,Complaint,
"I sync this with my Samsung Galaxy Note 4,and it is a daily chore.",Complaint,
"After one year, of trying all kinds of tricks, including rebooting the phone, rebooting the Blaze, uninstalling and reinstalling the app, I give up.",Complaint,
"I'll wear it as a watch, but I've uninstalled the app permanently.",Complaint,
This works great but the interface looks like it is from the 90's.,Complaint,
I was happy with the way it functioned but it did appear to stop synching with my phone only after a couple of weeks.,Bug Report,
"The Echo Dot is good, but it does have it's limitations: It will pick up ANYTHING that even sounds like 'Alexa'.",Complaint,
"It DEFINITELY is NOT for anyone who has that name or Alex, Alexander, Alexandra or (funny Alex Trebek- every time Jeopardy is on!).",Feature Summary,
Maybe present a way to change the command name.,Feature Request,
"Other than that, it reasonably answers most requests,  Then again, I haven't used it very much.",Feature Summary,
"The yellow/green light to announce a delivery stays on, even if you say 'Alexa, stop!'",Bug Report,
It doesn't listen,Bug Report,
"Large selection of apps and even games, and due to its buttons instead of a touch display, the ui is able to be the best of any smart watch I have looked at.",Praise,
It also allows for games to be played with ease.,Praise,
Voice detection work 8/10 times but if it's not your thing you can make custom canned messages.,Feature Summary,Availability
"(all apps are enabled automatically) the always on screen work well in lit areas, people complained about angles but the way you look at your watch doesn't effect how well the time reads, the only time angle effects readability is when you testing the angles, so for use, it's brilliant.",Praise,
"It does not work 80%of the time,  no response from the echo dot.",Bug Report,Availability
Alexa pretty much speaks when she wants to I guess.,Bug Report,
The menus are great.,Praise,
"i bought two , i am a senior  the pair enable me to feel secure allows me to see front door, included  allows me to see front room , the sound is great., the drop in call provide me the ability to make hands free calls.",Feature Summary,
i am learning new things every day,Praise,
"Bought it for my 8yr old daughter to use as a learning, entertainment and video calling device and it does all that as good as can possibly be done.",Praise,
It doesn't do a lot.,Complaint,
"It drops from the wi-fi a lot,,,, some things such as finding stores is pretty cool and playing music .......... it's ok - nothing super exciting but can be helpful.",Bug Report,
App needs to be running since last update.,Feature Summary,
I absolutely loved my Echo dot until I realized there is ZERO security and anyone within range can connect their phone to your device via Bluetooth.,Bug Report,
Doesn't everyone love waking up in the middle of the night to hear your Echo just paired with a random Samsung phone?,Bug Report,
Immediately followed by playing loud music?,Feature Summary,
It was kinda disappointing for my husband and I because we do not have Wifi at the house and aren't so interested in playing online.,Complaint,
This limits our game use :(,Complaint,
This product can not be used for Amazon music in Canada due to CRT Regulation.,Complaint,
Integration with Ring and Arlo works ok but connection takes such a long time.,Complaint,
Voice command doesn't work well.,Complaint,Correctness
Spotify command is poorly implemented.,Bug Report,
"I like that I can view my Arlo security cameras, really, really helpful.",Praise,
Pulling youtube videos is a cool feature.,Praise,
And accessing my photos is also really cool.,Praise,
"My fave feature at this point is the fact that I can access my Arlo security cameras, as stated above.",Praise,
It's cool not having facebook and web browser.,Praise,
It loses connection sometimes but re-connection usually not hard.,Bug Report,
I wish it could expand it's internet browsing to more than wikipedia.,Feature Request,
It has more features that i haven't experimented with and am looking forward to explore.,Praise,
"I love the fact that it connects with Amazon music, spotify, and other music apps that you can request to play from.",Praise,
"It could learn different skills, including trivia.",Feature Summary,
"It cannot answer some my questions due to its browsing limitations, but i was lucky enough to catch it on sale during prime day.",Complaint,
"However if you use all features including connecting it to light dimmers around the house, linking to your contacts to make phone calls, it's worth every penny.",Praise,
"If I fall in another room and can't get up, etc, I can give Alexa a command and she hears me then executes my request.",Feature Summary,
Response time is slow ..very slow,Complaint,
"My camera started failing after a few shots, it would freeze every x amount of shots and the only way to get it to work again was to take the battery out -something not very convenient when you are diving or doing anything else u are supposed to be doing- and then it started freezeng every less shots, to rhe point that every 2 to 3 shots, i had to take the battery out... so i returned the piece of crap... at that price range, the camera should have at least some basic functions that cameras 8 years old have and work normally.",Bug Report,
The limitations with the iPhone simply make it not worth the money.,Complaint,
"If I had At&t or Verizon, so I could respond to texting and messages, it might help, but for me, it wasn't worth the money.",Complaint,
I had constant connection issues.,Bug Report,
Lots of great features beyond the usual step/calories/time aspects.,Feature Summary,
"As a student nurse, I take my Fitbit with me on the unit (after cleaning it) and I use the stopwatch feature to take vitals.",Feature Summary,
"I love the plum band and that the watch allows me to specify whichever type of exercise I'm currently doing (elliptical, treadmill, running, etc) to get maximum accuracy.",Feature Summary,
"Also really enjoy the FitStar workouts available on the watch, although I wish there were more than just a few to choose from.",Feature Request,
She loves the app selection.,Praise,
"Love the echo , mine you I have 33 devices that interacts or are controlled by the amazon show..the reason I added the show was to view my arlo cams on it , to see song lyrics while songs are playing cost me 3.99 a month ..",Feature Summary,
"I don't need prime a co worker has it and I and about 10 other people give her 10 bucks a year... so she has free prime... anyway the show is AWSOME love that it plays movie trailers on point , love the video calling, not to mention the fun of controlling , lights, thermostat's , fans , dyson air purifier, locks, arlo cams, arlarm system  ect..",Praise,
"It only uses Bing to search, I ask for it to play a song, it's not in my music library, so it won't play, when normally I can Google or you tube and have it play.",Complaint,
"I ask for the weather in my town, but since my internet provider is based out of a town an hour north, it gives me the weather for that town, and I can't set a default for my actual town that I want the weather for.",Complaint,
"But you can also sync it by Bluetooth to another Bluetooth speaker, and that works quite well.",Praise,
It does the things I like about an Apple Watch without the price tag.,Praise,
I get about two days on it if I'm lucky and all the notifications are turned off.,Complaint,
If I turn on notifications it's charging every day.,Complaint,
Also for some reason this one takes longer to link up with my Android phone where my HR2 linked up without issue and very quickly.,Bug Report,
I do like the ability to change the look of the watch screen.,Praise,
Considering the watch is using the same GPS (the one in my phone) I was quite disappointed that it was so far off on the measurement.,Complaint,
Speaks during random conversations where the word 'Alexa' is never even spoken.,Bug Report,
Never has an answer to a question - never.,Complaint,
Good only for weather and maybe music though getting her to play the correct playlist is near impossible - its easier just to use your phone.... A very aggravating devise.,Complaint,
"Graphics are as expected, internet streaming is only as good as your ISP though.",Feature Summary,
"With the Blaze, a broken band can be easily replaced, and there are lots of 3rd party sellers out there so the bands are cheap 2. lots more functionality - different watch layouts, ability to choose exercise modes, call/text/email notifications, etc.",Praise,
Video chatting is great and more convenient than on my phone.,Praise,
Wish it could do more web browsing though.,Feature Request,
Cannot answer look up questions stating she cannot answer that.,Complaint,
Would be nice if she could google.,Feature Request,
"Sounds good for music in the home, has skills to play with to see if they are helpful to our household.",Feature Summary,
"Seeing the title and room location of meetings and the content of my text, without pulling out my phone and/or interrupting the conversation I having, has been immediately valuable.",Praise,
"The app plays nice with both devices at once, allowing me to wear the charge during activities that would rather not be wearing the nicer Blaze, like climbing or really physical work, without losing any data.",Praise,
"Everything looked fine and even turned on... and then it turned off, by itself over and over whenever I played a game.",Bug Report,
Neice and nephews are learning to ski and it's great to get quality video.,Praise,
"It gets use everyday weather it is for music, news, calendar, etc.",Feature Summary,
My favorite feature is the calendar.,Praise,
It is very easy to tell the show about an event you need to add.,Praise,
It will show this event many times as it cycles through different news headlines which is a great reminder for me.,Feature Summary,
Then when you start filming you have the option to turn off the screen to save battery.,Feature Summary,
"The only reason I would but the Black Edition is if you really were just going for the improved frame rates at higher definitions, otherwise, this will be more user friendly and give you awesome video as well!",Feature Summary,
"It won't pair at all, and I can't tell if it's charging or not!",Bug Report,
now I have to buy a new controller because even resetting it doesn't help.,Bug Report,Recoverability
It's difficult enough to use because you have to memorize all the commands to really benefit from it's full functionality.,Complaint,(good example of Complaint)
It's not very intuitive.,Complaint,
This product does not live up to what i was hoping for due to the poor support offered to computer users.,Complaint,
I was expecting some type of app or program for the PC to enhance the echo and i got a poorly designed web page based app that is hard to navigate and offers limited interaction with the echo.,Complaint,
You can not even make the most out of Amazon music unlimited because the music program does not interact with the Echo.,Complaint,
Echo is a home entertainment device not a portable speaker that should require a cell phone.,Complaint,
"If you want to take this product to the next level take the energy you are wasting on cell phone apps and design a desktop computer app much like your music program that interacts with the echo, Then you will have the home entertainment device you are advertising",Feature Request,
I wish it had a dictionary.,Feature Request,
The 'word of the day' is insufficient.,Complaint,
It doesn't understand everything but hope it learns soon.,Feature Request,
Wish I could make a phone call or text with it.,Feature Request,
"It's great for playing music, checking news and weather.",Feature Summary,
Lots of its skills are lame.,Complaint,
It's a great idea and I hope they expand on it soon!,Feature Request,
My gripes with the system are that I seem to have to switch back and forth between the mobile Alexa app on my FIre and my PC based one account management options depending on what I want to manage or setup--this is likely a user issue and not a system issue.,Complaint,
"Also the Dot in the kitchen cannot continue the News (Flash Briefing) at the point where the Dot in the bedroom left off, so must start over and 'skip' everything I have already listened to.",Bug Report,
"Works great and I had no trouble integrating a Wemo mini smart plug for turning a lamp on and off, which was cheaper and more versatile than paying for a 'smart' light bulb.",Praise,
I wish the light rings could be disabled particularly at night--I'm going to have to make a 'night cap' for my device.,Feature Request,
But this device doesn't  sync music or timers with other Echo devices in the house.,Complaint,
"In my mind, this should be a basic function.",Feature Request,
"Also, Alexa gets confused very easily by basic questions  that are answered quickly using Google Now.",Complaint,
Software updates to fix these things should be possible.,Feature Request,
The display in combination with the Echo technology really brings it to another level of usefulness  Very excited to see what skills/apps will take advantage of this device moving forward.,Praise,
I have Owens a GoPro hero 3 white and now I just purchased this hero 4 this product I awesome you can do so much more and the pic and video are so.,Praise,
Still a lot of bugs to iron out.,Bug Report,can't really tell
This morning I used the Pebble Time watch for the first time and woke up IMMEDIATELY with the watch alarm on silent.,Feature Summary,
It doesn't undertand what I'm saying.,Complaint,
It is easy to use and synced well with my iPhone.,Praise,
"I had lots of questions about how it would pair, and it is capable of doing all I hoped for.",Inquiry,
"I can read and voice respond to texts, and see any and all notifications my phone receives .",Feature Summary,
It has to be set up to my iPhone (internet) for it to work.,Feature Summary,
You have to download an app to talk to Dot.,Feature Summary,
When I spoke to Alexa it was just like Siri on my iPhone.,Feature Summary,
It's super simple to set up and use; it was literally three steps to set up and then it was up and running perfectly.,Praise,
I usually ask it to check the weather and the traffic reports for the morning so I am able to prepare for the day.,Feature Summary,
I also enjoy how interactive it is with the various apps that are available for it.,Praise,
"If you ask it to play Jeopardy, Alexa will ask you a series of daily questions, which I think is cool and honestly I've learned a few random bits of trivia by doing that.",Praise,
"My only concern is that it sometimes picks up trigger words from the TV or the radio and then tries to process them as a command that I gave it, but ultimately that isn't a huge issue.",Complaint,
Texting does not work unless your phone is nearby.,Bug Report,
"Great for exercise not for text, apps or anything else.",Feature Summary,
"Yes, am one of those persons who keep getting the infamous card error that leads to the camera seizing up!",Bug Report,
"Moreover, none of the features in the cam (FOV, FPS, Protune etc.)",Complaint,
"This is not as good as what I hoped, mainly because I think the software is not really ready yet.",Complaint,
For instance there is NO voice training as we the other alexa products.,Complaint,
It was difficult to transfer memory.,Complaint,
"I totally love being able to listen to my music from the cloud, but asking many questions is frustrating.",Complaint,
"I always have to use Ask Google as a back up because Alexa seldom gets the question, hummmm, I didn't understand your question........then why does Google understand the same question, asked exactly the same.",Complaint,
"Great for a timer and alarm clock, and playing music.",Feature Summary,
This feature makes all the settings much more accessible and easier to use.,Praise,
I have to give gopro a lot of credit for improving the menu on the Hero 4 silver.,Praise,
"I also have a Hero 3 Black, but have always found the menu selections confusing.",Complaint,
Update: I'm returning the device as there is still no way to turn off the text ('suggestions') and my 30 days id's almost up.,Complaint,
Device is OK but the home screen is cluttered and busy with text that you can't turn off.,Complaint,
"If you want to display your photos they can barely be seen because of the time, temperature and the text.",Complaint,
If you turn off the trending topics you get an endless stream of Alexa tips but there's no way to turn off the text.,Complaint,
Maybe they should test the O/S before releasing it to the public.,Feature Request,
"I saw the flaw right out of the box, called tech support and listened for 30 minutes while the rep guessed at ways to turn off the text none of which worked.",Complaint,
I asked for a supervisor and was finally told that you can't turn off the text.,Complaint,
It consistently gives the weather for two cities over.,Bug Report,
"When asked a factual question, it fails about half the time.",Bug Report,
The integration with other services and devices is generally poor.,Complaint,
"Although there are thousands of skills, most are essentially useless; the skills for even well-known products such as the Phillips Hue line, are painful to set up and use.",Complaint,
"Even if you stumble across a skill useful to you, you must remember the magic phrases to activate it.",Complaint,
"It does play music, but even here it often produces odd choices.",Bug Report,
Pro's Nice screen Nice features Seemed relatively accurate.,Praise,
"The Show is a promising device, and will serve as a center of quick information in the center for the family.",Praise,
"For example, we have started displaying the family calendar for quick reference, and the kids (9 and 12) enjoy listening to music while seeing the lyrics on the display.",Feature Summary,
We found the Alexa very slow compared to the Dot and Original connected to the same Wi-Fi network so we can only assume the slow response is due to the device and not the network.,Bug Report,
"When we ask Alexa to take an action, there is a good time of silence before Alexa responds.",Bug Report,
There is also a break between each songs - a much longer duration than we have seen with the Dot or the original.,Bug Report,
The kids calls this Alexa the Stupid one... We hope this will be fixed with a software upgrade very soon.,Complaint,
"Screen was pink, blue, green and now the cam stay locked and no function are avalaible.",Bug Report,
"Also the interface is now cluttered with a bunch of garbage advertising for other services and apps, I hate this interface.",Complaint,
The device will not pair with my account so many of the features that I use the regular Echo device for will not even work on this device because it won't properly pair the account to my app.,Bug Report,
"There is no way to reset or re-pair the device from what I can see, and there is no help me section for the device either.",Complaint,
Right now I have a small box tv that randomly shows whatever it wants to show and not what I would like it to do.,Complaint,
"I had 2 issues when installing: (1) Blank screen when I went to setup wifi, and (2) Add a network wasn't obvious The first issue I Googled and found many people had the same issue.",Complaint,
The second issue was to scroll down on the network screen until I came to the add a network option.,Complaint,
"Once I got things installed, I tried out Echo dot with 4 or 5 questions and it performed flawlessly.",Praise,
"If not for the install issues, I would have given this 5 stars.",Bug Report,
"Very nice feature and is exactly what I was looking for, however the health part, in particular sleep tracking is useless.",Complaint,
It tells me that I only sleep 1-3 hours a night while I average 7.,Feature Summary,
[Update: suprisingly inaccurate.,Complaint,
Good music selection with my Amazon Prime.,Praise,
"now that i have alex and i can do so much with her i m def learning more and more what else i can do with her ,hope one day she will be able to do more as much they say .",Feature Request,
"i love to ask her to play my favorite music .. that is my #1why i wanted alex ,plz hel me with the list is very nice too .",Praise,
everything its on ur cell phone and def helped me a lot .,Praise,
"and now that u can do so much with her everything will be much easy , and she is so easy to set up guys and def worth it the money .",Praise,
The screen is ofcourse much more impressive and readable than the surge or charge and this watch can do many more actions than the limited screen on the charge you are able to pause the blaze during a run or walk which is something that cant be done on the charge.,Feature Summary,
"I really like this fitbit, it has a ton of band options, keeps me moving, notifies me of calls/text, and keeps me up to date with constant reminders of how out of shape I'm in (i.e.",Feature Summary,
"I updated and it failed, however there was some sort of glitch and the screen wouldn't work.",Bug Report,
I've tested the GPS (mile and step distance) and it would be inaccurate between two people walking together.,Complaint,
"I would have 15,000 steps, while the person I'm walking with would have 8.000 steps.",Complaint,
The distance is also inaccurate.,Complaint,
"I've walked around a track which would be 1 mile, but it reports .65 miles.",Complaint,
One of the main reasons I purchased this was to track my HR during workouts and it's been a hit or miss.,Complaint,
"After heavy deadlifts, where my heart is pounding, this would report my HR as 75...really?!!",Complaint,
Flip features works only sometimes have to push the button to get the time which is aggravating to say the least.,Complaint,
Steps about 15% inaccurate.,Complaint,
It's not for those who like swanky timepieces but more for those who prefer utility.,Feature Summary,
I can answer all my notifications.,Feature Summary,
The voice response is very accurate.,Praise,
Pos doesn't respond amazon echo dot is junk....,Complaint,
This makes sure I'm aware of all calls (and can ignore ones I don;t want to take without having to get my phone out.,Feature Summary,
I just have to remember to take it off when I take a nap since it will vibrate even when the phone is on Do Not Disturb.,Bug Report,
Shortcomings are no sound or vibration notification for texts.,Complaint,
"It would be nice to be able to reply to texts (on iOS), but I really don't consider not being able to do so much of a shortcoming at this point.",Feature Request,
"Really great product but it's not ready for prime time, the software looks more like a beta version, still missing a lot of basic features and settings.",Complaint,
"Yo can't change the info on the home screen,  Another HUGE issue is that only works with a US address, our company has an office in South America and another one in Europe and I usually work in those offices a few months a year and the Echo Show is a big NO if you try to use it oversees, I work for a tech company so I know it's extremely easy for Amazon to allow to enter a city or state that is not in the US for the local weather and other features.",Complaint,
I will change my review to 5 stars once they fix all these issues and they make the OS more user friendly and allow us to fully customize the home screen and other features to better suit our needs.,Complaint,
I have tried different computers and different cables and if I even bump the GoPro my video transfer will crash.,Bug Report,
"however, after 3 months, alexa started turning on by itself.",Bug Report,
have to unplug it each night so we don't get awakend.,Complaint,
I just wish they were Windows 10 savey.,Feature Request,
I was on the phone with fitbit customer service and they had me trying to reset & clean pins but nothing was happening.,Complaint,
"Hands down one of the best fitness watches, I wanted something comparable to my wife's apple watch but as I haven't drunk the kool-aid and don't have an apple phone I went with this and to my surprise, it does things her watch can't, like control Spotify.",Praise,
It looks like a regular watch but does so much more.,Praise,
"So far I'm happy with it, bluetooth is always connected and I get all my notifications.",Praise,
"Unlike Siri, Echo Dot does not understand Chinese, or any other language except English.",Complaint,
"As a result, one cannot ask her to play songs/music which do not have an English title.",Complaint,
"Also, Echo Dot have problem with slow speaking person.",Complaint,
She makes selections before one has a chance to finish one's requests.,Bug Report,
I love that it includes a watch function.,Praise,
I also am walking more throughout the day with the reminders every hour during the work day to walk.,Praise,
It does well tracking exercise as well and I use it in tandem with my Orange Theory heart rate monitor.,Feature Summary,
The deal breaker with the HERO4 is no image stabilization.,Complaint,
Video jiggles around so much it detracts from the content is so so annoying.,Bug Report,
"What I was looking for was a smartwatch that tells time, notifies me on who's calling, receive text messages, and notifications from apps that I choose I want to be notified from.",Feature Summary,
They have other cool features but those I mentioned were the most important to me.,Praise,
"This works mostly ok.  You'll want to pair it with a better speaker if you plan to listen to music, but it's fine as an alarm clock or reminder.",Praise,
"Seems like instead of being an intercom, it thinks it's making a phone call.",Bug Report,
"Also, it sometimes responds to random sounds when I'm talking, without getting the 'Alexa' prompt, leading to 'Who is in the bedroom with you' remarks from my wife.",Bug Report,
"When paired with a decent speaker, it's a nice way to relax to music.",Praise,
"I can set a sleep timer, pick some relaxing music from Amazon Music or Pandora and drift off to sleep.",Feature Summary,
I would like Alexa to be a little more interactive.,Feature Request,
Im sure the programmers are working hard on her updates so that some day she can carry on a conversation.,Feature Request,
There are features I like but I seem to have better luck with information on the regular Alexa..,Complaint,
"I also like the sleep tracking, to help me identify patterns, so I can make adjustments to lifestyle in order to get more restful sleep.",Praise,
"I'm hoping that a year from now it will earn 5 stars, keep working the software.",Feature Request,
